TreeID,StandID,Plot,Tag,PrevPSPTag,PrevHOM,PrevDBH,PrevMS,PrevRT,PrevLA,Species,PrevStatus,PrevComments
100001,RS31,0000,100001,123123,8.4,8.4,,,,TSHE,1,
100002,RS31,0000,100002,100002,2.2,2.2,,,,TSHE,1,LEAN AT BASE
100003,RS31,0000,100003,100003,1.4,1.4,,,,TSHE,1,LEAN AT BASE
100004,RS31,0000,100004,100004,11.2,11.2,,,,TSHE,1,
100005,RS31,0000,100005,100005,11.9,11.9,,,,TSHE,1,
100006,RS31,0000,100006,100006,1.5,1.5,,,,TSHE,1,NURSE
100007,RS31,0000,100007,100007,2.9,2.9,,,,TSHE,1,
100008,RS31,0000,100008,100008,2.6,2.6,,,,TSHE,1,NURSE
100009,RS31,0000,100009,100009,2,2,,,,TSHE,1,
100010,RS31,0000,100010,100010,8.4,8.4,,,,TSHE,1,
100011,RS31,0000,100011,100011,6.7,6.7,,,,TSHE,1,
100012,RS31,0000,100012,100012,12.9,12.9,,,,TSHE,1,WB
100013,RS31,0000,100013,100013,5.1,5.1,,,,TSHE,1,
100014,RS31,0000,100014,100014,56.2,56.2,,,,THPL,1,
100015,RS31,0000,100015,100015,116.8,116.8,,,,THPL,1,
100016,RS31,0000,100016,100016,2,2,,,,TSHE,1,NURSE
100017,RS31,0000,100017,100017,3.5,3.5,,,,TSHE,1,NURSE
100018,RS31,0000,100018,100018,2.1,2.1,,,,TSHE,1,
100019,RS31,0000,100019,100019,3.3,3.3,,,,TSHE,1,
100020,RS31,0000,100020,100020,4.2,4.2,,,,TSHE,1,
100059,RS31,0000,100059,100059,89.6,89.6,,,,THPL,1,
100060,RS31,0000,100060,100060,9.5,9.5,,,,TSHE,1,
100061,RS31,0000,100061,100061,7.4,7.4,,,,TSHE,1,WB
100085,RS31,0000,100085,100085,14.4,14.4,,,,TSHE,1,WB
100086,RS31,0000,100086,100086,13.3,13.3,,,,TSHE,1,WB
100087,RS31,0000,100087,100087,1.2,1.2,,,,VAPA,1,
100088,RS31,0000,100088,100088,29.9,29.9,,,,TSHE,1,WB
